trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,is_best_trial
9,1.2163692297732855,0.9243722463789416,0.8583643707922487,0.9627230051837371,661,0.006601984958164864,18,5,13,0.864803089169032,0.8187787356776066,0.12522814303053625,5.994036749692399e-05,True
0,1.3947558339833546,0.8987353005726486,0.2451502052175004,0.9969599401397069,437,0.22648248189516848,51,7,9,0.5779972601681014,0.5290418060840998,0.08499808989182997,0.0006440507553993703,False
11,3.7638645319593698,0.2811168315415172,3.741458049285801,0.29196043946568856,197,0.0011963380170058652,46,5,18,0.9537832369630466,0.6246461145744375,1.918948786414487e-05,0.011076667222301087,False
18,3.4144504236358735,0.4085484698229653,3.3920598632254757,0.41801386717689376,126,0.002707998215427776,40,4,10,0.7225311861852869,0.8392687244346836,0.19618993901192144,2.301519888820626e-05,False
17,1.1585871680667839,0.9307483165036319,0.651000963289128,0.9785524667013119,356,0.031179370861402458,18,6,20,0.8138863347815124,0.84094291130392,0.16035732155868027,7.225406463763954e-06,False
16,1.2086919827612346,0.9248769323534818,0.7597277281255532,0.9707962513491086,695,0.015628350059255888,39,4,17,0.6865590663003667,0.6849942242915381,0.5060873526335423,4.742757094555447e-08,False
15,1.5342416418906768,0.8801893071074351,1.3363857444730525,0.9096372246743156,753,0.002653935721294814,18,4,18,0.9481213863470566,0.9008421066860055,0.45476732635824896,9.282262786223963e-06,False
14,1.3407114714755408,0.9061842449387287,0.411158599674713,0.9914458262453947,837,0.13556076855136892,15,7,15,0.6110539052353652,0.5599326836668415,5.022516489125307e-06,0.3493635816569516,False
13,1.3719598065030882,0.9026251240581786,0.4448114368789602,0.9899854878483122,268,0.16254621692585527,41,9,28,0.6590017374859319,0.5550259622638384,6.660108438734075e-07,2.6113333123958975e-05,False
12,3.103897269088641,0.5112639558732573,3.069914365922563,0.5233049852867987,306,0.0015512742044130146,29,4,29,0.9040601897822085,0.8167018782552118,0.0936881625557718,0.026876741555610546,False
10,1.125004454351357,0.9347699489463468,0.5002907294152056,0.9873354876759197,207,0.058451252572625234,53,7,25,0.7468977981821954,0.7613664146909971,2.632256136809142e-05,1.5971768764426203e-08,False
1,2.5610249302552397,0.6670422649231551,2.4021623897457727,0.7081189462691982,737,0.001124579825911934,63,9,10,0.5909124836035503,0.5917022549267169,2.716051144654844e-06,0.00015777981883364995,False
8,1.1283604744733764,0.9344465600042643,0.5026277170533464,0.9872118021314359,104,0.10471209213501693,50,8,25,0.5370223258670452,0.6792328642721364,8.451863533931625e-08,0.08032068562667222,False
7,1.5056608603757329,0.8845873369634593,1.2990216057607928,0.9146174511239975,421,0.0049648810171066555,42,4,25,0.5372753218398854,0.9934434683002586,0.015064619068942013,3.8879928024075543e-07,False
6,1.1271068557505408,0.9345010476014746,0.309320541787999,0.9951594779471078,638,0.19212959255386391,19,4,6,0.6626651653816322,0.6943386448447411,1.481809088646707e-06,0.04264813784432918,False
5,1.1522461504567523,0.9316942226921402,0.6354386863939957,0.9795713204707563,696,0.005917607170144194,41,7,9,0.9847923138822793,0.8875664116805573,0.32808889626606236,0.14408501080722544,False
4,2.8744381024350227,0.5806569039018228,2.78766440950988,0.6069341351300233,374,0.0017456037635797405,49,6,8,0.7475884550556351,0.5171942605576092,0.1881755597772026,1.1755466083160747e-06,False
3,1.152681541833927,0.9312571806786017,0.5389323555017642,0.9853007134152035,563,0.029341527565000736,17,7,9,0.5325257964926398,0.9744427686266666,0.530953226900921,0.02932100047183291,False
2,1.3940875989914177,0.9010883796188185,1.1728131159436206,0.9304167724399051,489,0.005265139631677754,45,4,12,0.6831809216468459,0.728034992108518,0.019116469627784252,3.9572205641009174e-07,False
19,1.1617355613044293,0.9303155869305652,0.5753303928241591,0.9832513047973205,651,0.03796596076767125,22,4,7,0.8547521794483444,0.7566305722783796,0.11360000255921951,1.850325243187702e-05,False
