cell,n_samples,rmse,r2,is_worst_quartile_cell
b3c7,1835,368.43259748424924,0.5162451483275571,True
b1c3,1432,210.18222530928406,0.7414840202067607,True
b2c1,147,163.11529376700068,-13.775971340630285,True
b1c0,1805,155.95906674574147,0.9104156171006672,True
b3c25,988,110.88630234145981,0.8488446215733354,True
b3c39,1155,101.6880726779714,0.9069840051606832,True
b1c36,702,98.21720242883596,0.7650999968844279,True
b3c8,827,83.55184481045134,0.8775149880473427,False
b1c37,646,78.25525731109248,0.8239061055511939,False
b1c40,964,75.29019138017121,0.9268011180338281,False
b1c21,557,67.02893828790283,0.8262211430338251,False
b3c26,1027,66.44078295271626,0.9497761207890191,False
b1c20,532,64.38084962271337,0.8242590687763567,False
b1c15,717,56.00665642114216,0.9267811215945317,False
b3c14,857,50.4181253453058,0.958466973345942,False
b2c42,465,49.09902049368436,0.86621019978693,False
b1c29,915,46.681167538577924,0.9687663315514398,False
b3c19,1154,44.83115707310369,0.9818895246098756,False
b2c11,477,37.065899888923134,0.927540473194912,False
b1c45,597,33.41115023383909,0.9624148180754136,False
b2c44,456,33.13514337340119,0.9370498119750093,False
b2c43,461,28.284403330800878,0.9548273590186663,False
b2c14,484,24.185338269462413,0.9700362124757215,False
b2c24,495,22.071466808519556,0.9761419462381034,False
b2c21,489,20.416798295217056,0.9790810144215,False
