trial,val_rmse,val_r2,train_rmse,train_r2,power,alpha,fit_intercept,tol,is_best_trial
11,340.0299466681496,0.2713892166363268,337.1044465717632,0.29031608623895705,1.7609371175115585,2.769889922756281e-05,True,9.462175356461487e-06,True
1,400.2787788562661,-0.005351552900734147,400.5777402489322,0.0,1.3779972601681014,1.951722464144947e-05,True,0.000133112160807369,False
20,383.7835248354958,0.07684987687923386,384.030213942836,0.08096007107854122,1.566194505336503,0.0012532914663002377,True,2.0470485326161013e-05,False
19,358.48882450342836,0.1950918432368837,358.5044686520844,0.19912603333298118,1.7936729383920629,2.4090755630432813e-05,True,1.3070856783383554e-06,False
18,395.25757760162577,0.020047356767734437,395.545733132148,0.024981596248536665,1.4507102135154923,0.008681919134672703,True,0.00013660744574371772,False
17,398.4562091235121,0.003910182112017302,398.7463975187114,0.009128873581009379,1.6689038690328808,0.006203312414676458,True,2.658826042022348e-06,False
16,400.2787788562661,-0.005351552900734147,400.5777402489322,0.0,1.5380298066995406,1.1690801713362965e-05,True,7.754207321017693e-06,False
15,356.47324014622484,0.20435963349530048,356.4581237939459,0.20789303484382157,1.7848284279673483,4.699185398308191e-05,True,1.5730985289658046e-05,False
14,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.6861223846483289,9.853225172032552e-05,False,0.00013199942261535007,False
13,391.59934892005424,0.03765386544724851,391.9578552685875,0.04025186335888391,1.5713480415791243,5.0654860639753535e-05,True,0.0009133995846860973,False
12,341.82829607191786,0.26684005997111837,339.2940582012056,0.28249681459555287,1.494338644844741,0.00022737628102536837,True,6.963114377829292e-06,False
0,400.2169093239594,-0.005036590167410204,400.5155690698656,0.000310589114692017,1.4872700594236812,0.566984951147885,True,2.9380279387035354e-06,False
10,400.2055846400784,-0.004980985262723436,400.503938559872,0.0003687063855035477,1.7847923138822792,0.07510418138777546,True,6.218704727769077e-05,False
9,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.631261142176991,0.00036187233309596217,False,3.5856126103453987e-06,False
8,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.3610191174223893,0.0029914693021302154,False,5.975027999960295e-06,False
7,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.7041986740582307,0.0003334792728637581,False,2.091498132903561e-05,False
6,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.6037724259507193,7.122305833333864e-05,False,0.0007886714129990489,False
5,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.6925879806965067,9.962513222055098e-05,False,1.3783237455007196e-06,False
4,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.6059264473611898,4.98275235707645e-05,False,2.334586407601622e-05,False
3,348.91705729661896,0.23799694549819722,348.88303476272114,0.24133178806820804,1.391702254926717,0.00033205591037519585,True,7.4763120622522945e-06,False
2,400.1297459606029,-0.00459335085812509,400.4279935800101,0.0007479845024893183,1.3102922471479013,0.7072114131472232,True,3.5113563139704077e-06,False
21,340.7792908969529,0.27365456267596794,339.95478472585586,0.27987451810706315,1.3896550652607416,0.0006430649525255524,True,2.3901222807190286e-06,False
