trial,val_rmse,val_r2,train_rmse,train_r2,power,alpha,fit_intercept,tol,is_best_trial
1,2.055411679156401,0.7844963133555531,2.027459640895708,0.7919947848586297,1.3779972601681014,1.951722464144947e-05,True,0.000133112160807369,True
0,4.432310211741887,0.003155735136313065,4.434130067910454,0.005513827550850392,1.4872700594236812,0.566984951147885,True,2.9380279387035354e-06,False
2,4.422705635846515,0.0074718490514150025,4.42450587133943,0.00982620671615877,1.3102922471479013,0.7072114131472232,True,3.5113563139704077e-06,False
3,2.187734695146407,0.7567593389186722,2.17206745920456,0.7613261149661879,1.391702254926717,0.00033205591037519585,True,7.4763120622522945e-06,False
4,94.02053307517136,-449.5282513213457,94.02020975004477,-446.2325795149271,1.6059264473611898,4.98275235707645e-05,False,2.334586407601622e-05,False
5,94.02053307517136,-449.5282513213457,94.02020975004477,-446.2325795149271,1.6925879806965067,9.962513222055098e-05,False,1.3783237455007196e-06,False
6,94.02053307517136,-449.5282513213457,94.02020975004477,-446.2325795149271,1.6037724259507193,7.122305833333864e-05,False,0.0007886714129990489,False
7,94.02053307517136,-449.5282513213457,94.02020975004477,-446.2325795149271,1.7041986740582307,0.0003334792728637581,False,2.091498132903561e-05,False
8,94.02053307517136,-449.5282513213457,94.02020975004477,-446.2325795149271,1.3610191174223893,0.0029914693021302154,False,5.975027999960295e-06,False
9,94.02053307517136,-449.5282513213457,94.02020975004477,-446.2325795149271,1.631261142176991,0.00036187233309596217,False,3.5856126103453987e-06,False
10,4.420717816482901,0.008364415123653313,4.422529125960435,0.010710777280955819,1.7847923138822792,0.07510418138777546,True,6.218704727769077e-05,False
11,2.102437017970466,0.7750979783084434,2.0800158478441473,0.7810900265535698,1.7609371175115585,2.769889922756281e-05,True,9.462175356461487e-06,False
