trial,val_rmse,val_r2,train_rmse,train_r2,n_neighbors,weights,p,is_best_trial
0,112.09049478282425,0.9110356791278997,51.18538633524446,0.983554226848705,21,uniform,2,True
1,112.35062185456016,0.9119198184187158,42.240062030352085,0.9888004649807869,14,uniform,2,False
2,112.74712121995852,0.9096192666931296,57.78606592561705,0.9790691921771252,28,uniform,2,False
3,114.21563424302636,0.9067841765080745,63.181343171910385,0.9749792503338188,35,uniform,1,False
4,113.938123791161,0.9079891302727742,48.704333423938365,0.9851216218267634,19,uniform,1,False
5,112.52269700164611,0.9096855487754937,0.013543270371948923,0.9999999988433839,28,distance,1,False
6,112.33635825052875,0.910487181782534,54.18317987969353,0.9815873763215472,24,uniform,2,False
7,112.52269700164611,0.9096855487754937,0.013543270371948923,0.9999999988433839,28,distance,1,False
8,112.19098116620117,0.9128471180184761,0.013543270371948923,0.9999999988433839,12,distance,2,False
9,113.15330817034337,0.9094053398273667,0.013543270371948923,0.9999999988433839,19,distance,1,False
10,112.31194279491308,0.9122572852219673,40.636843112337935,0.9896363130260598,13,uniform,2,False
