trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,is_best_trial
9,0.9387288274955639,0.9548808626476477,0.5230865829715051,0.9861571653229548,661,0.006601984958164864,18,5,13,0.864803089169032,0.8187787356776066,0.12522814303053625,5.994036749692399e-05,True
0,0.8869291827799911,0.9596164636652688,0.036614638674575,0.9999321401430995,437,0.22648248189516848,51,7,9,0.5779972601681014,0.5290418060840998,0.08499808989182997,0.0006440507553993703,False
11,3.6296096086190817,0.3317563915661177,3.604860261086091,0.34270671554517057,197,0.0011963380170058652,46,5,18,0.9537832369630466,0.6246461145744375,1.918948786414487e-05,0.011076667222301087,False
18,3.368276063034601,0.4245507505133691,3.332942027594106,0.4381254270092236,126,0.002707998215427776,40,4,10,0.7225311861852869,0.8392687244346836,0.19618993901192144,2.301519888820626e-05,False
17,0.8580705796199105,0.9623244412271331,0.3157380115776883,0.9949571217305145,356,0.031179370861402458,18,6,20,0.8138863347815124,0.84094291130392,0.16035732155868027,7.225406463763954e-06,False
16,0.8850269393707213,0.959859564855765,0.39420109264051606,0.992132907635658,695,0.015628350059255888,39,4,17,0.6865590663003667,0.6849942242915381,0.5060873526335423,4.742757094555447e-08,False
15,1.3360776369098348,0.9092239853387962,1.1216390265243432,0.936350923424019,753,0.002653935721294814,18,4,18,0.9481213863470566,0.9008421066860055,0.45476732635824896,9.282262786223963e-06,False
14,0.7857870824848173,0.9682937738642352,0.0888186254390963,0.99960040303346,837,0.13556076855136892,15,7,15,0.6110539052353652,0.5599326836668415,5.022516489125307e-06,0.3493635816569516,False
13,0.8209849076027842,0.9652567234287128,0.10936058286804207,0.9993940757944942,268,0.16254621692585527,41,9,28,0.6590017374859319,0.5550259622638384,6.660108438734075e-07,2.6113333123958975e-05,False
12,3.0384292396656045,0.5317833202388536,2.9935838199199454,0.546716338219165,306,0.0015512742044130146,29,4,29,0.9040601897822085,0.8167018782552118,0.0936881625557718,0.026876741555610546,False
10,0.8007509042164616,0.9670673247858076,0.20484199552945936,0.9978766704271689,207,0.058451252572625234,53,7,25,0.7468977981821954,0.7613664146909971,2.632256136809142e-05,1.5971768764426203e-08,False
1,2.183168145420034,0.7582970218776107,2.048853899469755,0.7876751484853601,737,0.001124579825911934,63,9,10,0.5909124836035503,0.5917022549267169,2.716051144654844e-06,0.00015777981883364995,False
8,0.8113525569707447,0.9662211795786788,0.20459342942381978,0.9978826797076923,104,0.10471209213501693,50,8,25,0.5370223258670452,0.6792328642721364,8.451863533931625e-08,0.08032068562667222,False
7,1.3088739391686013,0.9127944048693492,1.0848660888916168,0.9404553640496129,421,0.0049648810171066555,42,4,25,0.5372753218398854,0.9934434683002586,0.015064619068942013,3.8879928024075543e-07,False
6,0.8443356265291136,0.9634553211228477,0.09251281366606501,0.9995667162402644,638,0.19212959255386391,19,4,6,0.6626651653816322,0.6943386448447411,1.481809088646707e-06,0.04264813784432918,False
5,0.8728166533777323,0.9609736087639174,0.3444593574537368,0.9939983442319488,696,0.005917607170144194,41,7,9,0.9847923138822793,0.8875664116805573,0.32808889626606236,0.14408501080722544,False
4,2.5628139264224483,0.6669630989267581,2.470264303776394,0.6913478870390836,374,0.0017456037635797405,49,6,8,0.7475884550556351,0.5171942605576092,0.1881755597772026,1.1755466083160747e-06,False
3,0.8427173122013226,0.9637610237669904,0.257923726708352,0.9966334515873193,563,0.029341527565000736,17,7,9,0.5325257964926398,0.9744427686266666,0.530953226900921,0.02932100047183291,False
2,1.1513296463042813,0.9324595918636993,0.8740971279809646,0.9613330486232996,489,0.005265139631677754,45,4,12,0.6831809216468459,0.728034992108518,0.019116469627784252,3.9572205641009174e-07,False
19,0.8344248364239844,0.9643749738395746,0.24791531556547897,0.9968911898806263,651,0.03796596076767125,22,4,7,0.8547521794483444,0.7566305722783796,0.11360000255921951,1.850325243187702e-05,False
