trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,is_best_trial
1,109.9962356041344,0.9145091163951005,52.330150299979366,0.9828559800904229,110,squared_error,10,9,2,,True
0,122.72333557881446,0.8972099333772487,88.43422702187277,0.9509848121409374,87,squared_error,7,3,1,,False
2,145.4270446087812,0.8615831119571175,129.06908411365376,0.895754888032464,80,squared_error,5,7,1,,False
3,143.276824147447,0.8673622904380016,124.33842583451015,0.9032686972414241,96,squared_error,7,7,1,sqrt,False
4,125.45312272585275,0.8970148235127449,96.75690048624351,0.9410830422690626,56,absolute_error,9,4,1,sqrt,False
5,110.36282604502098,0.9144803534135075,55.069626482503544,0.9808952027747188,62,squared_error,10,4,4,,False
6,113.77935209442562,0.9093856210163448,68.31031150616052,0.9707253534660927,105,absolute_error,9,10,5,,False
7,184.57883702468467,0.7852268681346675,178.0677654907785,0.801874830430228,58,squared_error,5,5,2,sqrt,False
8,129.36492405389598,0.8907084734222644,97.48086889744489,0.9401667222911376,78,squared_error,9,2,5,sqrt,False
9,127.0763709405799,0.8940176943724542,107.66986779195702,0.9274611350214528,50,squared_error,8,8,1,sqrt,False
10,250.5861905602193,0.6069049446436077,248.57727752821802,0.6148815713606901,137,squared_error,3,4,2,sqrt,False
11,132.38982241897915,0.8848958629678719,106.76461412797286,0.9285836866507244,139,squared_error,8,8,3,sqrt,False
