trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,is_best_trial
29,109.08902609891786,0.9189504395554792,22.11771085452509,0.996945835552,400,0.11231894354326419,24,9,15,0.7774469727501079,0.6752997137819545,0.0005744027234770985,3.5583422023379196e-05,True
0,118.4876878079868,0.9039639514991235,13.224980618154898,0.9989053706905443,437,0.22648248189516848,51,7,9,0.5779972601681014,0.5290418060840998,0.08499808989182997,0.0006440507553993703,False
1,217.91556883347948,0.6986875780785071,196.45974842876086,0.7594215248078349,737,0.001124579825911934,63,9,10,0.5909124836035503,0.5917022549267169,2.716051144654844e-06,0.00015777981883364995,False
22,109.57556215210441,0.9174032653644064,21.67756591519796,0.9970678712621905,206,0.17101758351249,38,9,21,0.8125921212724929,0.7876791315717548,0.0007698413920275068,3.894480454257909e-05,False
23,115.73692720973281,0.906110699643412,12.60479059373282,0.9990055817415195,221,0.23756006062616183,47,10,14,0.7882063608568435,0.9027739800107768,0.001309540790732392,1.3743041567224108e-05,False
24,112.253416480004,0.913653135541578,18.587647634242156,0.9978422540214014,256,0.2727217900332437,31,7,25,0.7216115647318586,0.92564930324808,0.07650411861020594,0.00042922459225158655,False
25,113.92593009075475,0.9103969101070616,28.61693156453841,0.9948787874288161,240,0.13320838469726703,40,10,27,0.7190628758807265,0.6161110241804453,0.616126379792275,1.3360734488622116e-07,False
26,110.01049391196662,0.9164488720539211,22.462936290048926,0.9968477135713464,392,0.09214647070472276,28,8,19,0.7581236422943036,0.934511735109378,8.345957582068363e-06,2.5977542696164824e-06,False
27,110.4945008639967,0.915100021278344,35.6233043814609,0.992064064712379,204,0.06087093657494212,42,6,19,0.9440302344300949,0.6633136144355042,0.0007102084696899356,0.0005423368877411464,False
28,112.17328219408655,0.9131429550048432,27.425006197491236,0.9952927186981538,125,0.14941781360084982,43,9,30,0.6787482820246377,0.9237947796614274,0.00013981204407375632,1.1691153081575997e-05,False
30,109.36688322037746,0.9176719549896705,23.290885104276825,0.9966108488277972,560,0.07343428104910309,23,10,14,0.8443541517629114,0.7351772667172366,0.00018579403072703336,0.002000519553423102,False
31,110.54251784111577,0.9156312216585757,29.64463391202895,0.9945133968614206,504,0.033455388646663226,30,10,12,0.8440239809379801,0.6970685756799778,0.0025768893720910517,0.0031217643910485563,False
32,113.94140746462774,0.9115198040751931,19.14419069620824,0.9977128720160042,305,0.29600888295584105,17,10,13,0.6702743316204056,0.6545296430577893,0.04495740610701355,4.556133243398162e-05,False
33,110.68259025434195,0.9163659051168859,16.30653062568153,0.9983398935378908,569,0.16461846833664687,23,9,18,0.8893264393352996,0.6398029178515594,0.0007285191623462213,6.384745632236457e-06,False
34,110.0718317458388,0.9170936381590995,20.55404432646332,0.9973622192287632,170,0.17626084476863713,37,9,11,0.8067488593344676,0.703376729724536,1.4928643490441908e-07,1.9391358210990395e-05,False
35,111.00267872336399,0.9152894703684868,26.918192011113625,0.9954752781220411,134,0.15415556673772499,36,10,19,0.9387410500685868,0.7680030489630257,0.26148940645613006,4.003381777359332e-05,False
36,109.3129338924969,0.918147493779682,24.79537210111884,0.9961624144478003,326,0.19033548958623786,15,10,14,0.9110163215850706,0.854550454179136,0.00036192264540536504,0.0008929763828010093,False
37,113.98778275588033,0.9103971648796456,12.513942151696536,0.9990226473470377,426,0.2921378752466859,19,10,11,0.8893605151976877,0.8802513399171723,0.00016176179886641322,0.010600641777028035,False
38,118.01825623211532,0.9041146667947452,54.64175942097692,0.9812828605878703,298,0.021649327634633692,24,8,15,0.7512146656771057,0.5652283461571062,0.00013163869929410957,5.546287615650875e-07,False
21,111.2374228699204,0.9145357241861255,42.37829292663959,0.9887639954925109,137,0.0702364954122628,27,7,28,0.7168664018419044,0.7573697373143823,1.4174501888264952e-05,2.5139127593515153e-07,False
20,109.42181307514775,0.9178982832445433,32.544057016387285,0.9933844554232858,179,0.10770474832110549,31,7,24,0.7487519620740557,0.8160847974351894,1.1774756299541954e-05,5.178545999217107e-07,False
19,111.51032110161225,0.9149322718337354,39.06549781848626,0.9904464677948399,344,0.015704650263454783,60,8,27,0.8843928898879203,0.7635575868409633,1.3537595915653922e-05,2.4065635814839185e-08,False
9,118.73412088492796,0.9040309861725442,63.82049343041782,0.974484627110451,661,0.006601984958164864,18,5,13,0.864803089169032,0.8187787356776066,0.12522814303053625,5.994036749692399e-05,False
2,133.6074817841105,0.8818079746594212,89.38897701905964,0.9499855051235524,489,0.005265139631677754,45,4,12,0.6831809216468459,0.728034992108518,0.019116469627784252,3.9572205641009174e-07,False
3,110.86879711540575,0.9142496207515702,37.73179655436092,0.991088916208027,563,0.029341527565000736,17,7,9,0.5325257964926398,0.9744427686266666,0.530953226900921,0.02932100047183291,False
4,247.62680289417798,0.611932458924513,232.93175358787693,0.6617885455899887,374,0.0017456037635797405,49,6,8,0.7475884550556351,0.5171942605576092,0.1881755597772026,1.1755466083160747e-06,False
5,112.91459987545045,0.9109536957404103,42.95970810162014,0.9884254094570523,696,0.005917607170144194,41,7,9,0.9847923138822793,0.8875664116805573,0.32808889626606236,0.14408501080722544,False
6,113.93145142744413,0.9104562222425834,20.841730043190697,0.9972856708589702,638,0.19212959255386391,19,4,6,0.6626651653816322,0.6943386448447411,1.481809088646707e-06,0.04264813784432918,False
7,140.25915793945782,0.8684799674486122,99.46212246957533,0.9381463092499589,421,0.0049648810171066555,42,4,25,0.5372753218398854,0.9934434683002586,0.015064619068942013,3.8879928024075543e-07,False
8,110.63861883017884,0.9156637411101679,32.97783146855278,0.9932046690558349,104,0.10471209213501693,50,8,25,0.5370223258670452,0.6792328642721364,8.451863533931625e-08,0.08032068562667222,False
10,110.27329892269104,0.915384485357035,33.12066298408182,0.9931464210987114,207,0.058451252572625234,53,7,25,0.7468977981821954,0.7613664146909971,2.632256136809142e-05,1.5971768764426203e-08,False
18,110.35429286046215,0.9154281566232122,36.62950223434708,0.9916064218016241,168,0.05024125212622994,48,7,24,0.6319670567817877,0.8178454280558982,0.02418019067517559,1.0446866119511642e-08,False
11,334.34388672212475,0.29795002426945677,329.68202938007136,0.3225995853998146,197,0.0011963380170058652,46,5,18,0.9537832369630466,0.6246461145744375,1.918948786414487e-05,0.011076667222301087,False
12,279.9459175260332,0.5060973481042368,272.3764257011629,0.5375323312145153,306,0.0015512742044130146,29,4,29,0.9040601897822085,0.8167018782552118,0.0936881625557718,0.026876741555610546,False
13,111.88957760846617,0.91412359868305,25.765477748455517,0.9958444141981593,268,0.16254621692585527,41,9,28,0.6590017374859319,0.5550259622638384,6.660108438734075e-07,2.6113333123958975e-05,False
14,112.37131077909537,0.9121139254979689,24.864578070293437,0.9961348636868964,837,0.13556076855136892,15,7,15,0.6110539052353652,0.5599326836668415,5.022516489125307e-06,0.3493635816569516,False
15,111.92779088518736,0.9143094157404196,18.24444795476225,0.9979208049966996,260,0.16320684286042025,63,8,19,0.6186405600242417,0.6487539371742066,8.466599230370262e-07,0.02689984444200303,False
16,111.15894219570457,0.9156155604589568,22.060032932708985,0.9969569854367821,346,0.13739153518803318,44,7,27,0.5102625345924566,0.8613093902822013,2.480034895648954e-06,0.02054970017705481,False
17,109.99919247868847,0.9161583513906777,28.714852993150195,0.9948481144791643,136,0.14925189777288775,41,8,28,0.715954954859,0.7940777570670791,0.0008512335701381413,7.006756302901104e-08,False
39,110.71746875747758,0.9149860677308561,32.85623556456566,0.9932572628171016,676,0.04521872726181839,17,10,23,0.7695887697851589,0.6858581559956549,1.2257609684914411e-05,0.24064362018758903,False
